Change Component Footprint: Designator=H5 Old Footprint=CONN-SMD_8P-P1.50_5040500891 New Footprint=CONN-SMD_SM08B-SURS-TF
Change Component Comment : Designator=H5 Old Comment=5040500891 New Comment=SM08B-SURS-TF(LF)(SN)
Change component parameters: Designator = "H5" ("H5"); Footprint = "CONN-SMD_8P-P1.50_5040500891"; UniqueID = "\QSALQJJJ" ("\QSALQJJJ")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Colour"; Value = "°×É«"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Í­ºÏ½ð"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Îý"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Max)"; Value = "500mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20211104/F9E1F8CA9D999D7845259FE213F9F750.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "SM08B-SURS-TF(LF)(SN)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Flame Retardant Rating"; Value = "UL94V-0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "1x8P ¼ä¾à:0.8mm ÎÔÌù ÏµÁÐ:SUR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "JST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "SM08B-SURS-TF(LF)(SN)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Style"; Value = "ÎÔÌù"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "8P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of PINs Per Row"; Value = "8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-25¡æ~+85¡æ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins Structure"; Value = "1x8P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Plastic Material"; Value = "PA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage (Max)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reference Series"; Value = "SUR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Row Spacing"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplementary Features"; Value = "¸¨Öúº¸½Å"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SMD,P=0.8mm,ÎÔÌù"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C595161"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "SM08B-SURS-TF(LF)(SN)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X-Length of Bottom Edge on Board (Spacing Line)"; Value = "8.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Y-Width of Bottom Edge on Board"; Value = "2.7mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Z-Height of the Board"; Value = "1.75mm"; VariantName = "[No Variations]"
